"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jan 02 16:02:36 GMT 2024","Tue Jan 02 16:02:37 GMT 2024","1186","Open Cart Test Regression PW Suite","para bank smoke test","com.qa.parabank.tests.bill.BillPayTest","com.qa.parabank.tests.bill.BillPayTest","verifySuccessfulBillPay","Verify Bill payment will be successful and user wil have zero balance",""
"broken","Tue Jan 02 16:01:39 GMT 2024","Tue Jan 02 16:02:09 GMT 2024","30218","Open Cart Test Regression PW Suite","para bank smoke test","com.qa.parabank.tests.loan.RequestLoanTest","com.qa.parabank.tests.loan.RequestLoanTest","verifyLoanStatusWillBeApproved","Verify the Loan status will be Approved when the amount more than the down payment",""
"broken","Tue Jan 02 16:02:10 GMT 2024","Tue Jan 02 16:02:40 GMT 2024","30211","Open Cart Test Regression PW Suite","para bank smoke test","com.qa.parabank.tests.loan.RequestLoanTest","com.qa.parabank.tests.loan.RequestLoanTest","verifyLoanStatusWillBeDenied","Verify the Loan status will be Denied when the amount less than the down payment",""
"failed","Tue Jan 02 16:01:37 GMT 2024","Tue Jan 02 16:01:38 GMT 2024","1364","Open Cart Test Regression PW Suite","para bank smoke test","com.qa.parabank.tests.login.LoginTest","com.qa.parabank.tests.login.LoginTest","verifyTotalBalance","Verify the total balance after creating multiple accounts",""
"broken","Tue Jan 02 16:02:05 GMT 2024","Tue Jan 02 16:02:35 GMT 2024","30229","Open Cart Test Regression PW Suite","para bank smoke test","com.qa.parabank.tests.transferfunds.TransferFundsTest","com.qa.parabank.tests.transferfunds.TransferFundsTest","verifyTransferFromToSameAccount","Verify a blocking message will be displayed when Transfer From - To Same Account",""
"passed","Tue Jan 02 16:01:35 GMT 2024","Tue Jan 02 16:01:36 GMT 2024","1225","Open Cart Test Regression PW Suite","para bank smoke test","com.qa.parabank.tests.login.LoginTest","com.qa.parabank.tests.login.LoginTest","verifySuccessfulLogin","Verify The system will open the main page after successful login.",""
"broken","Tue Jan 02 16:01:34 GMT 2024","Tue Jan 02 16:02:05 GMT 2024","30492","Open Cart Test Regression PW Suite","para bank smoke test","com.qa.parabank.tests.transferfunds.TransferFundsTest","com.qa.parabank.tests.transferfunds.TransferFundsTest","verifyTransferAmountMoreThanTheBalanceInAccount","Verify a blocking message will be displayed when transfer amount more than the balance in account",""
"passed","Tue Jan 02 16:01:34 GMT 2024","Tue Jan 02 16:01:34 GMT 2024","400","Open Cart Test Regression PW Suite","para bank smoke test","com.qa.parabank.tests.login.LoginTest","com.qa.parabank.tests.login.LoginTest","verifyErrorMessageForUnsuccessfulLogin","Verify a blocking message will be displayed when providing wrong credentials.",""
"failed","Tue Jan 02 16:02:38 GMT 2024","Tue Jan 02 16:02:39 GMT 2024","1179","Open Cart Test Regression PW Suite","para bank smoke test","com.qa.parabank.tests.bill.BillPayTest","com.qa.parabank.tests.bill.BillPayTest","verifyUnSuccessfulBillPay","Verify Bill Payment will be unsuccessful with a blocking message",""
